"uid","cluster","coalesce","country","gender","device","dt"
"1001832","Control","0","USA","M","",""
"1040298","Treatment","0","MEX","","",""
"1032307","Treatment","0","FRA","M","",""
"1027317","Control","0","ESP","O","",""
"1013732","Treatment","0","BRA","F","",""
"1027065","Treatment","0","USA","M","",""
"1047853","Control","0","USA","F","",""
"1005352","Control","0","USA","M","",""
"1043831","Treatment","0","FRA","F","",""
"1003498","Control","0","USA","F","",""
"1010519","Control","0","TUR","F","",""
"1002051","Control","0","USA","M","",""
"1044108","Treatment","0","GBR","F","",""
"1046457","Treatment","0","BRA","F","",""
"1021776","Treatment","0","MEX","F","",""
"1007754","Treatment","0","USA","","",""
"1004782","Control","145.6","USA","M","A","2023-01-26"
"1016178","Control","0","MEX","O","",""
"1024324","Control","0","BRA","F","",""
"1008014","Control","0","FRA","F","",""
"1047140","Treatment","0","FRA","O","",""
"1025257","Treatment","0","USA","M","",""
"1006997","Treatment","0","FRA","F","",""
"1030158","Treatment","0","TUR","M","",""
"1014802","Treatment","0","AUS","M","",""
"1000479","Treatment","0","USA","M","",""
"1023326","Treatment","0","MEX","M","",""
"1013074","Treatment","0","USA","M","",""
"1014554","Treatment","0","TUR","M","",""
"1021277","Control","0","AUS","F","",""
"1019884","Treatment","0","DEU","M","",""
"1018318","Control","0","BRA","F","",""
"1037054","Control","0","GBR","M","",""
"1016822","Control","0","USA","M","",""
"1047104","Treatment","0","CAN","F","",""
"1038924","Treatment","0","USA","M","",""
"1038396","Treatment","52.42","","F","I","2023-01-30"
"1008914","Treatment","0","MEX","F","",""
"1042040","Control","0","FRA","M","",""
"1017847","Treatment","0","CAN","F","",""
"1019688","Control","49.89","USA","M","I","2023-02-02"
"1014062","Control","0","BRA","F","",""
"1045856","Control","0","USA","F","",""
"1022862","Treatment","0","ESP","F","",""
"1004343","Control","0","USA","F","",""
"1023577","Control","0","FRA","F","",""
"1002615","Control","0","USA","F","",""
"1024549","Treatment","0","MEX","F","",""
"1031826","Control","0","USA","F","",""
"1028854","Control","0","USA","F","",""
"1002329","Treatment","0","TUR","F","",""
"1039878","Control","0","DEU","M","",""
"1034077","Treatment","0","USA","F","",""
"1028022","Treatment","0","MEX","M","",""
"1009427","Control","0","CAN","","",""
"1015897","Control","0","BRA","F","",""
"1008785","Control","0","FRA","F","",""
"1007585","Control","0","USA","F","",""
"1047314","Control","0","USA","F","",""
"1017594","Treatment","0","TUR","","",""
"1040855","Treatment","0","MEX","O","",""
"1015168","Treatment","0","MEX","M","",""
"1025024","Control","114.80430352476232","TUR","F","I","2023-01-29"
"1017948","Control","0","USA","F","",""
"1001843","Control","0","USA","F","",""
"1047670","Treatment","65.46","GBR","M","I","2023-02-01"
"1039187","Treatment","0","BRA","F","",""
"1043465","Treatment","38.21","FRA","M","A","2023-01-26"
"1040920","Control","0","AUS","M","",""
"1029814","Treatment","0","USA","M","",""
"1024135","Treatment","0","USA","F","",""
"1009382","Treatment","0","USA","F","",""
"1049289","Treatment","0","MEX","F","",""
"1016639","Control","0","GBR","M","",""
"1008742","Control","0","USA","","",""
"1003115","Treatment","0","USA","F","",""
"1022228","Control","0","BRA","M","",""
"1047495","Control","29.12","USA","F","A","2023-02-01"
"1045013","Control","0","USA","M","",""
"1029175","Treatment","0","GBR","","",""
"1034646","Control","0","USA","F","",""
"1046510","Control","0","USA","M","",""
"1018210","Control","0","TUR","F","",""
"1010458","Treatment","0","DEU","F","",""
"1043625","Control","0","USA","F","",""
"1019476","Treatment","0","BRA","M","",""
"1042021","Control","0","ESP","","",""
"1027863","Control","0","MEX","F","",""
"1001565","Treatment","0","MEX","M","",""
"1022113","Control","0","BRA","M","",""
"1038178","Control","0","FRA","F","",""
"1033832","Control","0","ESP","F","",""
"1011975","Control","0","BRA","F","",""
"1046229","Treatment","0","USA","F","",""
"1007233","Control","0","ESP","F","",""
"1038551","Treatment","0","USA","F","",""
"1033139","Treatment","0","BRA","F","",""
"1018584","Treatment","0","USA","F","",""
"1028823","Treatment","0","ESP","M","",""
"1019299","Treatment","0","CAN","","",""
"1008764","Control","0","MEX","M","",""
"1025459","Control","0","USA","M","",""
"1022896","Treatment","0","FRA","M","",""
"1043428","Treatment","0","TUR","F","",""
"1021978","Treatment","0","DEU","F","",""
"1037483","Treatment","0","BRA","M","",""
"1039685","Treatment","0","USA","M","",""
"1004904","Control","0","TUR","F","",""
"1024223","Control","0","USA","M","",""
"1019535","Treatment","0","BRA","F","",""
"1003616","Treatment","84.2","DEU","F","A","2023-01-26"
"1041996","Treatment","0","GBR","F","",""
"1041345","Treatment","0","TUR","F","",""
"1015600","Treatment","0","BRA","F","",""
"1047132","Treatment","0","USA","F","",""
"1042300","Treatment","0","BRA","M","",""
"1010850","Treatment","0","MEX","M","",""
"1001449","Treatment","0","USA","M","",""
"1032502","Control","0","USA","M","",""
"1038410","Control","0","USA","M","",""
"1022996","Treatment","0","USA","M","",""
"1010301","Treatment","0","USA","M","",""
"1025442","Treatment","0","DEU","M","",""
"1002408","Treatment","0","BRA","","",""
"1004192","Control","0","BRA","","",""
"1024227","Treatment","0","DEU","M","",""
"1022556","Control","0","MEX","F","",""
"1008449","Control","0","BRA","M","",""
"1026717","Control","0","USA","M","",""
"1044809","Treatment","0","CAN","F","",""
"1036787","Treatment","0","MEX","","",""
"1001419","Treatment","0","USA","F","",""
"1013554","Control","0","USA","F","",""
"1008181","Treatment","26.2","USA","M","A","2023-02-04"
"1020667","Control","0","DEU","M","",""
"1013151","Control","0","AUS","F","",""
"1019436","Control","0","FRA","M","",""
"1045645","Treatment","0","GBR","F","",""
"1016503","Treatment","0","TUR","F","",""
"1013810","Treatment","0","BRA","M","",""
"1030610","Control","0","MEX","M","",""
"1017532","Treatment","0","BRA","M","",""
"1009952","Control","0","USA","M","",""
"1005012","Control","0","CAN","","",""
"1014970","Treatment","0","GBR","M","",""
"1010346","Treatment","0","ESP","M","",""
"1049728","Control","0","FRA","F","",""
"1007236","Control","63.35","USA","M","I","2023-01-28"
"1027361","Control","109.09","USA","M","I","2023-02-02"
"1009288","Treatment","1094.8","BRA","F","I","2023-01-25"
"1017598","Treatment","0","DEU","F","",""
"1014085","Treatment","0","USA","F","",""
"1012951","Treatment","0","TUR","","",""
"1003889","Control","0","MEX","F","",""
"1019319","Control","0","USA","M","",""
"1005487","Treatment","0","FRA","M","",""
"1034123","Control","0","USA","","",""
"1001649","Control","0","MEX","","",""
"1017794","Treatment","0","USA","M","",""
"1040289","Control","0","GBR","M","",""
"1024013","Treatment","0","USA","M","",""
"1040522","Control","22.358850329696914","BRA","F","A","2023-02-01"
"1032557","Treatment","0","USA","M","",""
"1042898","Treatment","0","BRA","M","",""
"1028012","Control","0","BRA","F","",""
"1024636","Treatment","0","USA","M","",""
"1023869","Control","0","ESP","M","",""
"1027212","Control","0","TUR","F","",""
"1037429","Treatment","0","TUR","M","",""
"1031949","Treatment","0","BRA","M","",""
"1048558","Treatment","0","USA","F","",""
"1018731","Control","0","BRA","","",""
"1003537","Treatment","0","USA","M","",""
"1000683","Treatment","0","BRA","O","",""
"1031006","Treatment","0","USA","F","",""
"1024253","Control","0","MEX","M","",""
"1014563","Treatment","0","USA","F","",""
"1027234","Control","0","DEU","F","",""
"1009246","Treatment","0","ESP","F","",""
"1009651","Control","0","DEU","M","",""
"1030947","Treatment","0","USA","M","",""
"1047763","Treatment","0","USA","M","",""
"1013650","Control","0","","F","",""
"1021556","Control","0","BRA","F","",""
"1007846","Treatment","0","USA","F","",""
"1041895","Control","0","TUR","O","",""
"1041412","Treatment","0","USA","","",""
"1005912","Treatment","47.43","CAN","F","I","2023-01-25"
"1029711","Control","0","GBR","F","",""
"1036886","Control","0","ESP","M","",""
"1023636","Control","0","CAN","M","",""
"1033410","Treatment","0","USA","F","",""
"1013324","Treatment","0","USA","F","",""
"1046831","Treatment","0","TUR","F","",""
"1036063","Treatment","0","BRA","F","",""
"1041687","Treatment","0","TUR","F","",""
"1015594","Treatment","0","MEX","","",""
"1009007","Treatment","0","DEU","F","",""
"1031400","Control","0","FRA","M","",""
"1032188","Control","0","BRA","F","",""
"1040406","Control","0","BRA","F","",""
"1038720","Treatment","0","USA","F","",""
"1034693","Treatment","0","","F","",""
"1025541","Treatment","0","ESP","F","",""
"1013524","Control","0","USA","","",""
"1046122","Control","0","BRA","M","",""
"1036443","Control","0","TUR","F","",""
"1032643","Treatment","0","DEU","M","",""
"1029240","Treatment","0","BRA","O","",""
"1010388","Treatment","0","USA","F","",""
"1036095","Treatment","0","USA","F","",""
"1027773","Treatment","0","FRA","M","",""
"1013649","Treatment","0","FRA","M","",""
"1044843","Treatment","0","BRA","M","",""
"1048480","Control","0","USA","M","",""
"1018644","Control","0","USA","","",""
"1011309","Control","0","USA","M","",""
"1032013","Treatment","0","BRA","F","",""
"1008662","Control","0","FRA","F","",""
"1000633","Control","0","DEU","F","",""
"1043042","Treatment","0","USA","","",""
"1034039","Control","0","BRA","M","",""
"1012704","Control","0","CAN","M","",""
"1049680","Treatment","0","FRA","F","",""
"1002332","Treatment","0","BRA","F","",""
"1005000","Treatment","0","MEX","F","",""
"1040713","Treatment","0","USA","M","",""
"1039763","Treatment","0","BRA","M","",""
"1023287","Treatment","0","USA","F","",""
"1029705","Control","0","USA","M","",""
"1049708","Control","0","USA","F","",""
"1039293","Control","0","TUR","O","",""
"1027357","Treatment","0","USA","","",""
"1017038","Treatment","0","CAN","","",""
"1026468","Treatment","0","USA","M","",""
"1047077","Control","0","USA","F","",""
"1041068","Treatment","0","USA","F","",""
"1033700","Treatment","0","TUR","M","",""
"1039738","Treatment","0","USA","F","",""
"1045832","Treatment","0","BRA","F","",""
"1040461","Treatment","0","GBR","F","",""
"1018656","Treatment","0","GBR","","",""
"1045551","Control","0","MEX","","",""
"1036716","Treatment","0","DEU","M","",""
"1017032","Treatment","0","USA","","",""
"1031686","Treatment","0","USA","F","",""
"1000440","Treatment","0","GBR","M","",""
"1000258","Control","0","CAN","F","",""
"1006701","Treatment","0","FRA","F","",""
"1024449","Treatment","0","MEX","M","",""
"1044703","Treatment","68.49","USA","M","A","2023-02-04"
"1022400","Treatment","0","USA","F","",""
"1043729","Treatment","0","ESP","","",""
"1017214","Control","0","USA","M","",""
"1042916","Control","0","MEX","F","",""
"1015937","Control","0","TUR","M","",""
"1020109","Control","0","MEX","M","",""
"1046441","Control","0","USA","F","",""
"1034404","Treatment","0","MEX","","",""
"1045781","Treatment","0","DEU","","",""
"1035441","Control","0","","M","",""
"1021872","Treatment","0","TUR","M","",""
"1023510","Control","0","USA","F","",""
"1017390","Treatment","42.94","BRA","M","I","2023-01-26"
"1004549","Treatment","0","ESP","M","",""
"1000291","Control","0","ESP","M","",""
"1020338","Treatment","0","TUR","F","",""
"1013510","Control","0","GBR","M","",""
"1034421","Treatment","0","USA","M","",""
"1044818","Control","0","BRA","M","",""
"1017988","Treatment","0","BRA","O","",""
"1003382","Control","0","BRA","F","",""
"1014260","Treatment","0","FRA","F","",""
"1008379","Treatment","0","USA","M","",""
"1021252","Control","0","TUR","F","",""
"1008734","Treatment","0","USA","M","",""
"1043432","Control","0","USA","F","",""
"1019544","Control","0","FRA","M","",""
"1042769","Control","0","MEX","M","",""
"1003755","Control","0","USA","F","",""
"1015827","Treatment","0","USA","M","",""
"1014494","Control","0","MEX","F","",""
"1034114","Control","0","USA","F","",""
"1013792","Treatment","0","BRA","F","",""
"1002810","Treatment","0","MEX","M","",""
"1017474","Control","0","BRA","M","",""
"1047622","Control","56.75","USA","M","I","2023-01-28"
"1043607","Control","0","BRA","F","",""
"1001547","Control","0","USA","F","",""
"1012851","Treatment","0","BRA","M","",""
"1037681","Treatment","0","TUR","O","",""
"1008877","Treatment","0","MEX","M","",""
"1030485","Treatment","0","CAN","F","",""
"1041226","Control","0","MEX","M","",""
"1000569","Control","0","GBR","M","",""
"1030854","Treatment","0","AUS","M","",""
"1042884","Control","86.65","USA","F","I","2023-01-25"
"1015437","Control","0","DEU","M","",""
"1029898","Control","0","ESP","O","",""
"1028655","Control","0","DEU","F","",""
"1046294","Treatment","0","USA","","",""
"1014521","Control","0","BRA","M","",""
"1040341","Control","0","ESP","F","",""
"1003840","Treatment","0","ESP","","",""
"1034115","Treatment","0","USA","M","",""
"1030484","Control","0","USA","","",""
"1021608","Control","0","MEX","F","",""
"1040170","Treatment","0","BRA","F","",""
"1036382","Control","0","BRA","F","",""
"1021791","Treatment","0","CAN","F","",""
"1038145","Control","0","USA","F","",""
"1037890","Treatment","0","TUR","","",""
"1011853","Treatment","0","BRA","M","",""
"1013261","Control","0","ESP","F","",""
"1010176","Treatment","0","BRA","F","",""
"1046220","Treatment","0","USA","F","",""
"1036516","Treatment","0","BRA","F","",""
"1002269","Treatment","0","TUR","F","",""
"1000218","Treatment","0","USA","F","",""
"1046392","Control","0","TUR","O","",""
"1032856","Treatment","63.53","GBR","O","I","2023-01-27"
"1006282","Control","0","MEX","M","",""
"1049981","Treatment","0","BRA","M","",""
"1041465","Control","0","USA","M","",""
"1028483","Control","0","GBR","M","",""
"1047762","Control","0","USA","","",""
"1023569","Treatment","0","GBR","F","",""
"1024091","Treatment","0","BRA","F","",""
"1002643","Control","0","USA","F","",""
"1037149","Treatment","0","USA","","",""
"1028999","Treatment","0","ESP","F","",""
"1033344","Control","0","USA","F","",""
"1006227","Control","0","USA","M","",""
"1011990","Control","0","USA","F","",""
"1007046","Control","0","MEX","F","",""
"1023328","Control","0","DEU","","",""
"1009404","Control","0","FRA","F","",""
"1039152","Treatment","0","GBR","F","",""
"1039621","Treatment","0","TUR","","",""
"1040242","Control","0","BRA","O","",""
"1034495","Treatment","0","USA","M","",""
"1007564","Treatment","0","USA","M","",""
"1020143","Control","0","USA","F","",""
"1015989","Control","0","BRA","F","",""
"1033401","Control","0","BRA","F","",""
"1043846","Treatment","0","BRA","F","",""
"1012368","Control","0","ESP","F","",""
"1004610","Treatment","0","USA","F","",""
"1001855","Control","53.99368738651961","USA","","A","2023-01-28"
"1002756","Treatment","0","BRA","","",""
"1021434","Control","0","BRA","M","",""
"1032136","Treatment","0","ESP","F","",""
"1029606","Treatment","0","ESP","M","",""
"1006741","Control","0","TUR","M","",""
"1047788","Treatment","0","USA","O","",""
"1043892","Treatment","0","USA","M","",""
"1040435","Treatment","0","USA","M","",""
"1018895","Control","0","BRA","M","",""
"1037602","Treatment","0","ESP","F","",""
"1029355","Control","0","USA","","",""
"1047172","Control","0","MEX","O","",""
"1002340","Control","0","MEX","F","",""
"1020640","Control","0","USA","F","",""
"1000283","Treatment","0","USA","M","",""
"1044948","Control","0","BRA","F","",""
"1020845","Treatment","0","USA","F","",""
"1041375","Control","0","GBR","F","",""
"1020207","Treatment","0","USA","","",""
"1003860","Control","0","DEU","F","",""
"1021041","Control","0","USA","M","",""
"1007777","Control","0","MEX","M","",""
"1002830","Control","0","DEU","F","",""
"1046061","Control","0","GBR","M","",""
"1028254","Treatment","0","MEX","F","",""
"1027618","Treatment","0","USA","F","",""
"1049646","Control","0","FRA","F","",""
"1022831","Control","85.55","USA","","I","2023-01-26"
"1019578","Treatment","0","TUR","M","",""
"1047342","Treatment","0","BRA","M","",""
"1004464","Control","0","GBR","M","",""
"1034065","Control","0","TUR","M","",""
"1007748","Control","0","USA","M","",""
"1001006","Treatment","0","USA","F","",""
"1029038","Control","0","MEX","","",""
"1024821","Treatment","0","USA","M","",""
"1006330","Treatment","0","USA","O","",""
"1047293","Treatment","0","USA","M","",""
"1019421","Treatment","0","USA","M","",""
"1035934","Control","0","BRA","F","",""
"1013880","Treatment","0","BRA","F","",""
"1048126","Control","0","MEX","M","",""
"1047148","Control","0","USA","F","",""
"1045515","Treatment","0","DEU","O","",""
"1040889","Control","0","BRA","","",""
"1039514","Treatment","0","BRA","M","",""
"1026818","Control","0","BRA","F","",""
"1026141","Treatment","111.63","USA","F","I","2023-01-28"
"1041947","Control","0","USA","M","",""
"1026922","Control","0","DEU","F","",""
"1024039","Control","0","USA","","",""
"1004922","Control","0","MEX","F","",""
"1032613","Treatment","0","BRA","M","",""
"1049492","Treatment","0","MEX","M","",""
"1035054","Control","0","TUR","F","",""
"1024361","Control","0","USA","M","",""
"1021161","Control","0","BRA","F","",""
"1011957","Control","0","USA","F","",""
"1005845","Treatment","0","USA","F","",""
"1018185","Control","0","DEU","F","",""
"1019129","Control","0","ESP","","",""
"1002225","Treatment","0","USA","M","",""
"1001986","Treatment","0","GBR","M","",""
"1034081","Treatment","0","BRA","O","",""
"1001035","Control","0","USA","F","",""
"1013859","Treatment","0","ESP","F","",""
"1012229","Treatment","0","USA","M","",""
"1030933","Treatment","0","CAN","","",""
"1015019","Treatment","0","ESP","F","",""
"1018191","Treatment","0","USA","","",""
"1020862","Treatment","0","MEX","M","",""
"1035644","Treatment","0","MEX","M","",""
"1016420","Treatment","0","USA","F","",""
"1007812","Control","0","USA","","",""
"1041845","Control","0","USA","M","",""
"1046164","Control","0","BRA","F","",""
"1015576","Control","0","USA","O","",""
"1041905","Treatment","29.22","USA","M","I","2023-01-26"
"1018513","Treatment","0","USA","F","",""
"1034546","Treatment","0","USA","M","",""
"1033769","Treatment","0","USA","F","",""
"1028923","Treatment","0","BRA","","",""
"1045620","Treatment","0","TUR","F","",""
"1019526","Control","0","TUR","F","",""
"1019410","Control","0","","F","",""
"1048457","Control","0","USA","M","",""
"1003040","Treatment","0","BRA","F","",""
"1000425","Treatment","0","USA","F","",""
"1036649","Control","0","BRA","M","",""
"1032535","Treatment","0","BRA","","",""
"1020314","Control","0","USA","","",""
"1028258","Control","0","USA","","",""
"1038113","Treatment","0","USA","F","",""
"1020463","Control","0","FRA","F","",""
"1025285","Control","23.23","USA","M","I","2023-01-30"
"1027448","Control","0","BRA","F","",""
"1025531","Treatment","0","BRA","M","",""
"1006133","Treatment","0","USA","F","",""
"1009015","Control","0","BRA","M","",""
"1010071","Treatment","0","DEU","F","",""
"1006391","Control","0","BRA","M","",""
"1035151","Treatment","0","FRA","","",""
"1032782","Treatment","0","USA","F","",""
"1004990","Treatment","44.04360487098238","TUR","M","","2023-02-03"
"1049045","Treatment","0","MEX","M","",""
"1045629","Treatment","0","USA","F","",""
"1027605","Control","0","USA","F","",""
"1045888","Treatment","0","BRA","M","",""
"1005598","Treatment","0","USA","O","",""
"1001042","Treatment","0","DEU","F","",""
"1013461","Control","0","USA","M","",""
"1006405","Control","0","USA","F","",""
"1034458","Control","0","BRA","","",""
"1048970","Control","0","USA","F","",""
"1012291","Treatment","0","MEX","F","",""
"1028373","Control","0","ESP","","",""
"1027092","Control","0","USA","F","",""
"1028862","Treatment","0","FRA","","",""
"1035144","Control","0","BRA","M","",""
"1022168","Control","0","USA","","",""
"1047575","Control","0","USA","M","",""
"1038848","Control","87.34","USA","O","A","2023-01-29"
"1036469","Treatment","0","USA","M","",""
"1033934","Control","0","GBR","F","",""
"1046650","Control","0","USA","","",""
"1011405","Control","0","TUR","M","",""
"1008152","Control","0","AUS","M","",""
"1036499","Control","0","DEU","M","",""
"1023937","Control","21.89","MEX","F","I","2023-02-02"
"1006410","Treatment","0","USA","M","",""
"1016004","Control","0","BRA","F","",""
"1039853","Control","0","USA","F","",""
"1031474","Control","0","MEX","M","",""
"1016648","Treatment","0","BRA","F","",""
"1042087","Control","0","BRA","M","",""
"1036259","Treatment","0","TUR","M","",""
"1048649","Control","0","USA","F","",""
"1045367","Control","0","GBR","M","",""
"1028313","Control","126.6","FRA","F","A","2023-01-26"
"1009549","Treatment","0","USA","F","",""
"1043429","Control","0","TUR","M","",""
"1021245","Treatment","0","MEX","M","",""
"1024454","Treatment","0","GBR","","",""
"1038151","Control","0","BRA","M","",""
"1045609","Treatment","0","BRA","F","",""
"1044342","Control","0","USA","","",""
"1040616","Control","0","USA","F","",""
"1014697","Treatment","0","USA","F","",""
"1039242","Control","0","BRA","F","",""
"1019995","Treatment","0","USA","M","",""
"1008515","Treatment","0","USA","M","",""
"1031774","Control","0","BRA","M","",""
"1003848","Treatment","0","USA","M","",""
"1037502","Control","76.99","TUR","F","A","2023-01-29"
"1039626","Treatment","0","BRA","M","",""
"1000565","Control","0","DEU","F","",""
