"uid","cluster","spent","country","gender","device"
"1000234","Treatment","0","GBR","M",""
"1000235","Control","0","FRA","M",""
"1000236","Treatment","0","BRA","M",""
"1000237","Treatment","13.17","USA","M","I"
"1000238","Treatment","0","USA","M",""
"1000239","Control","0","TUR","F",""
"1000240","Treatment","0","CAN","M",""
"1000241","Control","0","BRA","",""
"1000242","Treatment","0","BRA","M",""
"1000243","Control","0","USA","F",""
"1000244","Treatment","0","USA","M",""
"1000245","Control","0","MEX","F",""
"1000246","Treatment","0","TUR","F",""
"1000247","Control","0","FRA","F",""
"1000248","Control","0","FRA","M",""
"1000249","Control","0","GBR","F",""
"1000250","Treatment","0","FRA","F",""
"1000251","Control","0","USA","M",""
"1000252","Control","0","TUR","F",""
"1000253","Treatment","40.32","DEU","M","A"
"1000254","Treatment","0","ESP","M",""
"1000255","Treatment","0","FRA","",""
"1000256","Treatment","0","USA","",""
"1000257","Treatment","0","GBR","F",""
"1000258","Control","0","CAN","F",""
"1000259","Control","0","BRA","M",""
"1000260","Treatment","0","USA","F",""
"1000261","Control","205.98","TUR","F","A"
"1000262","Control","0","MEX","M",""
"1000263","Treatment","0","USA","M",""
"1000264","Control","0","BRA","F",""
"1000265","Control","0","USA","F",""
"1000266","Treatment","0","GBR","M",""
"1000267","Treatment","0","USA","M",""
"1000268","Control","0","BRA","F",""
"1000269","Control","116.29","USA","M","A"
"1000270","Control","0","AUS","F",""
"1000271","Control","0","MEX","M",""
"1000272","Treatment","0","FRA","M",""
"1000273","Treatment","0","DEU","F",""
"1000274","Control","0","DEU","M",""
"1000275","Control","0","USA","M",""
"1000276","Control","0","BRA","M",""
"1000277","Control","0","BRA","F",""
"1000278","Control","0","DEU","",""
"1000279","Control","0","USA","M",""
"1000280","Control","0","MEX","F",""
"1000281","Treatment","0","USA","M",""
"1000282","Treatment","0","MEX","M",""
"1000283","Treatment","0","USA","M",""
"1000284","Treatment","0","BRA","",""
"1000285","Control","0","","F",""
"1000286","Control","0","USA","M",""
"1000287","Treatment","0","DEU","F",""
"1000288","Control","0","TUR","F",""
"1000289","Treatment","0","DEU","M",""
"1000290","Control","0","FRA","M",""
"1000291","Control","0","ESP","M",""
"1000292","Control","0","ESP","",""
"1000294","Treatment","0","MEX","F",""
"1000295","Treatment","0","USA","F",""
"1000296","Control","0","USA","M",""
"1000297","Treatment","0","BRA","",""
"1000298","Control","0","CAN","F",""
"1000299","Treatment","0","FRA","M",""
"1000300","Control","0","MEX","F",""
"1000301","Treatment","0","TUR","F",""
"1000302","Control","0","BRA","F",""
"1000303","Treatment","0","DEU","F",""
"1000304","Control","0","USA","M",""
"1000305","Control","0","USA","F",""
"1000306","Control","0","FRA","F",""
"1000307","Control","0","BRA","M",""
"1000308","Control","0","BRA","M",""
"1000309","Treatment","0","USA","F",""
"1000310","Treatment","0","BRA","F",""
"1000311","Control","0","BRA","F",""
"1000312","Treatment","0","MEX","F",""
"1000313","Treatment","0","MEX","F",""
"1000315","Control","0","BRA","F",""
"1000316","Control","0","USA","F",""
"1000317","Treatment","0","FRA","M",""
"1000318","Treatment","0","USA","M",""
"1000319","Control","0","AUS","F",""
"1000320","Control","0","USA","M",""
"1000321","Control","0","USA","F",""
"1000322","Treatment","0","CAN","",""
"1000323","Treatment","0","TUR","F",""
"1000325","Control","0","MEX","M",""
"1000326","Treatment","0","TUR","F",""
"1000327","Control","0","USA","M",""
"1000328","Treatment","0","MEX","F",""
"1000329","Treatment","0","USA","M",""
"1000330","Treatment","0","TUR","F",""
"1000331","Control","0","USA","M",""
"1000332","Control","0","USA","F",""
"1000333","Control","0","USA","M",""
"1000334","Control","0","FRA","F",""
"1000335","Control","0","USA","F",""
"1000336","Treatment","0","BRA","M",""
"1000337","Control","0","MEX","M",""
"1000338","Control","0","MEX","O",""
"1000339","Control","0","USA","F",""
"1000340","Treatment","0","USA","F",""
"1000341","Control","0","USA","",""
"1000342","Treatment","0","AUS","F",""
"1000343","Control","0","GBR","O",""
"1000344","Control","0","USA","F",""
"1000345","Control","0","GBR","M",""
"1000346","Control","0","MEX","F",""
"1000347","Control","0","AUS","O",""
"1000348","Treatment","0","BRA","M",""
"1000349","Treatment","0","BRA","M",""
"1000350","Treatment","0","USA","M",""
"1000351","Treatment","0","BRA","F",""
"1000352","Control","0","USA","F",""
"1000353","Control","0","MEX","",""
"1000354","Treatment","0","BRA","F",""
"1000355","Control","0","FRA","M",""
"1000356","Control","0","GBR","F",""
"1000357","Control","0","USA","F",""
"1000358","Treatment","0","","F",""
"1000359","Treatment","0","GBR","M",""
"1000360","Treatment","0","TUR","",""
"1000361","Treatment","0","BRA","F",""
"1000362","Control","0","FRA","M",""
"1000363","Control","0","ESP","M",""
"1000364","Control","0","TUR","F",""
"1000365","Treatment","0","FRA","F",""
"1000366","Treatment","0","TUR","",""
"1000367","Treatment","0","BRA","M",""
"1000368","Control","0","BRA","",""
"1000369","Control","0","BRA","O",""
"1000370","Treatment","0","BRA","M",""
"1000371","Control","0","USA","M",""
"1000372","Treatment","0","AUS","F",""
"1000373","Control","0","FRA","F",""
"1000374","Control","0","ESP","F",""
"1000375","Treatment","0","USA","M",""
"1000376","Control","0","MEX","F",""
"1000377","Treatment","0","BRA","",""
"1000378","Treatment","0","USA","F",""
"1000379","Control","0","MEX","F",""
"1000381","Treatment","0","BRA","",""
"1000382","Control","0","DEU","M",""
"1000383","Control","0","ESP","",""
"1000384","Control","0","DEU","F",""
"1000385","Control","0","DEU","M",""
"1000386","Control","0","TUR","M",""
"1000387","Treatment","0","MEX","F",""
"1000388","Treatment","0","GBR","F",""
"1000389","Treatment","0","USA","M",""
"1000391","Treatment","0","BRA","",""
"1000392","Control","0","ESP","F",""
"1000393","Control","0","USA","F",""
"1000394","Control","0","ESP","F",""
"1000395","Control","0","USA","F",""
"1000396","Control","0","MEX","O",""
"1000397","Treatment","0","CAN","F",""
"1000398","Treatment","0","USA","F",""
"1000399","Control","0","DEU","M",""
"1000401","Control","0","USA","F",""
"1000402","Control","0","CAN","",""
"1000403","Control","0","AUS","O",""
"1000404","Control","0","MEX","M",""
"1000405","Control","0","USA","M",""
"1000406","Control","0","MEX","",""
"1000407","Control","0","TUR","",""
"1000408","Treatment","0","BRA","M",""
"1000409","Control","0","BRA","M",""
"1000410","Treatment","0","CAN","F",""
"1000411","Treatment","0","GBR","F",""
"1000412","Control","0","TUR","F",""
"1000413","Treatment","0","MEX","",""
"1000414","Treatment","0","BRA","M",""
"1000415","Treatment","57.69","DEU","","I"
"1000416","Control","0","USA","M",""
"1000417","Treatment","45.06","DEU","F","A"
"1000418","Treatment","0","USA","F",""
"1000419","Control","0","USA","F",""
"1000420","Control","0","USA","F",""
"1000421","Control","0","MEX","F",""
"1000422","Control","0","TUR","",""
"1000423","Treatment","0","USA","F",""
"1000424","Treatment","0","DEU","F",""
"1000425","Treatment","0","USA","F",""
"1000426","Control","0","MEX","F",""
"1000428","Control","0","USA","M",""
"1000429","Treatment","0","MEX","O",""
"1000430","Control","0","USA","M",""
"1000431","Treatment","0","DEU","F",""
"1000432","Control","0","USA","",""
"1000433","Treatment","0","","F",""
"1000434","Treatment","0","BRA","M",""
"1000436","Treatment","25.55","TUR","F","A"
"1000437","Control","0","DEU","M",""
"1000438","Control","0","MEX","F",""
"1000439","Control","0","MEX","F",""
"1000440","Treatment","0","GBR","M",""
"1000441","Control","0","MEX","F",""
"1000442","Control","0","DEU","F",""
"1000443","Control","0","USA","M",""
"1000445","Treatment","0","AUS","F",""
"1000446","Control","0","FRA","F",""
"1000447","Treatment","0","USA","F",""
"1000448","Control","0","BRA","F",""
"1000449","Treatment","0","USA","",""
"1000450","Treatment","0","USA","M",""
"1000451","Control","0","BRA","F",""
"1000452","Control","0","BRA","",""
"1000453","Control","0","MEX","M",""
"1000454","Treatment","39.09","USA","M","I"
"1000455","Treatment","0","USA","F",""
"1000456","Control","0","TUR","F",""
"1000457","Control","0","BRA","F",""
"1000458","Control","0","BRA","O",""
"1000459","Treatment","0","FRA","F",""
"1000460","Treatment","0","BRA","",""
"1000461","Control","0","BRA","",""
"1000462","Treatment","0","CAN","M",""
"1000463","Control","0","TUR","M",""
"1000464","Control","0","USA","M",""
"1000465","Control","0","BRA","M",""
"1000466","Treatment","0","USA","F",""
"1000467","Treatment","0","TUR","",""
"1000468","Treatment","0","AUS","F",""
"1000469","Treatment","0","GBR","",""
"1000470","Treatment","0","DEU","F",""
"1000471","Control","0","BRA","F",""
"1000472","Treatment","0","CAN","F",""
"1000473","Control","0","USA","M",""
"1000474","Treatment","0","GBR","M",""
"1000475","Treatment","0","BRA","",""
"1000476","Treatment","0","MEX","F",""
"1000477","Treatment","0","","F",""
"1000478","Control","0","FRA","F",""
"1000479","Treatment","0","USA","M",""
"1000480","Control","0","BRA","",""
"1000481","Control","0","BRA","F",""
"1000482","Treatment","0","TUR","M",""
"1000483","Control","0","USA","M",""
"1000484","Control","0","BRA","M",""
"1000485","Control","0","BRA","",""
"1000486","Treatment","0","DEU","M",""
"1000487","Control","0","MEX","M",""
"1000488","Treatment","0","FRA","F",""
"1000489","Control","0","MEX","F",""
"1000490","Control","0","USA","F",""
"1000491","Treatment","0","TUR","",""
"1000492","Control","0","BRA","F",""
"1000493","Treatment","0","USA","F",""
"1000494","Control","0","USA","F",""
"1000495","Control","0","FRA","M",""
"1000496","Control","0","MEX","M",""
"1000497","Control","0","USA","F",""
"1000498","Control","0","USA","F",""
"1000499","Treatment","0","MEX","F",""
"1000500","Treatment","0","MEX","O",""
"1000501","Treatment","0","USA","F",""
"1000502","Treatment","0","DEU","M",""
"1000503","Control","0","DEU","M",""
"1000504","Control","0","USA","F",""
"1000505","Treatment","0","MEX","M",""
"1000506","Treatment","0","MEX","F",""
"1000507","Treatment","0","BRA","",""
"1000508","Control","0","GBR","F",""
"1000509","Control","0","USA","F",""
"1000510","Treatment","16.92","MEX","M","A"
"1000511","Treatment","0","GBR","M",""
"1000512","Treatment","0","","M",""
"1000513","Control","0","USA","F",""
"1000514","Treatment","0","ESP","M",""
"1000515","Control","0","BRA","M",""
"1000516","Control","0","MEX","F",""
"1000517","Control","0","BRA","M",""
"1000518","Treatment","0","USA","F",""
"1000519","Treatment","0","MEX","F",""
"1000520","Treatment","0","MEX","M",""
"1000521","Treatment","0","USA","M",""
"1000522","Treatment","0","GBR","F",""
"1000523","Control","89.64","BRA","F","A"
"1000524","Treatment","0","MEX","F",""
"1000525","Treatment","0","BRA","F",""
"1000526","Control","0","USA","F",""
"1000527","Treatment","0","BRA","F",""
"1000528","Control","0","DEU","F",""
"1000529","Treatment","0","GBR","M",""
"1000530","Treatment","0","FRA","F",""
"1000531","Control","0","DEU","F",""
"1000532","Control","0","USA","M",""
"1000533","Treatment","0","USA","M",""
"1000534","Treatment","0","FRA","F",""
"1000535","Control","0","DEU","M",""
"1000536","Control","0","USA","M",""
"1000537","Control","0","BRA","M",""
"1000538","Control","0","FRA","M",""
"1000539","Control","0","BRA","F",""
"1000540","Control","0","BRA","F",""
"1000541","Treatment","0","BRA","F",""
"1000542","Control","0","MEX","M",""
"1000543","Treatment","0","USA","M",""
"1000544","Control","0","USA","M",""
"1000545","Treatment","0","USA","M",""
"1000546","Control","61.12","FRA","F","A"
"1000547","Control","0","USA","M",""
"1000548","Control","0","USA","F",""
"1000549","Treatment","0","TUR","M",""
"1000550","Treatment","0","GBR","M",""
"1000551","Control","0","FRA","F",""
"1000552","Treatment","0","USA","F",""
"1000553","Control","0","USA","M",""
"1000554","Treatment","0","USA","M",""
"1000555","Treatment","0","USA","F",""
"1000556","Treatment","0","TUR","M",""
"1000557","Control","0","TUR","F",""
"1000558","Control","0","BRA","",""
"1000559","Treatment","0","DEU","M",""
"1000560","Treatment","0","USA","F",""
"1000561","Treatment","0","USA","F",""
"1000562","Control","0","ESP","M",""
"1000563","Control","0","BRA","",""
"1000564","Control","0","USA","F",""
"1000565","Control","0","DEU","F",""
"1000566","Control","0","USA","F",""
"1000567","Treatment","0","GBR","F",""
"1000568","Control","0","AUS","M",""
"1000569","Control","0","GBR","M",""
"1000570","Control","0","MEX","M",""
"1000571","Control","0","USA","F",""
"1000572","Treatment","0","TUR","",""
"1000573","Control","0","BRA","F",""
"1000574","Control","0","USA","",""
"1000575","Treatment","0","USA","M",""
"1000576","Treatment","0","TUR","M",""
"1000577","Treatment","0","BRA","F",""
"1000578","Treatment","0","BRA","",""
"1000579","Treatment","117.79","BRA","M","A"
"1000580","Control","0","USA","F",""
"1000581","Control","0","TUR","",""
"1000583","Treatment","0","USA","M",""
"1000584","Control","0","USA","M",""
"1000585","Control","0","USA","F",""
"1000586","Control","0","DEU","O",""
"1000587","Control","0","USA","F",""
"1000588","Control","0","DEU","M",""
"1000589","Control","0","USA","",""
"1000590","Control","0","DEU","M",""
"1000591","Treatment","0","USA","F",""
"1000592","Treatment","0","CAN","",""
"1000593","Treatment","0","MEX","M",""
"1000594","Treatment","0","BRA","F",""
"1000595","Treatment","0","DEU","",""
"1000596","Treatment","0","GBR","M",""
"1000597","Treatment","0","BRA","F",""
"1000598","Treatment","0","BRA","O",""
"1000599","Control","0","DEU","M",""
"1000600","Treatment","0","MEX","M",""
"1000601","Control","10.79","USA","F","A"
"1000602","Treatment","0","USA","",""
"1000603","Treatment","0","USA","",""
"1000604","Control","0","TUR","F",""
"1000606","Control","0","USA","F",""
"1000607","Control","0","USA","",""
"1000608","Control","0","GBR","M",""
"1000609","Treatment","0","MEX","M",""
"1000610","Treatment","0","DEU","M",""
"1000611","Treatment","0","TUR","M",""
"1000612","Treatment","0","MEX","M",""
"1000613","Control","0","GBR","M",""
"1000614","Control","0","BRA","M",""
"1000615","Control","0","GBR","F",""
"1000616","Control","0","USA","M",""
"1000617","Control","0","DEU","M",""
"1000618","Treatment","0","BRA","",""
"1000619","Control","0","USA","F",""
"1000620","Treatment","0","USA","M",""
"1000621","Control","0","TUR","M",""
"1000622","Treatment","0","DEU","M",""
"1000623","Control","61.29","USA","F","A"
"1000624","Treatment","0","GBR","F",""
"1000625","Control","0","MEX","O",""
"1000626","Control","0","USA","",""
"1000627","Treatment","0","BRA","F",""
"1000628","Treatment","0","TUR","",""
"1000629","Control","0","BRA","",""
"1000630","Control","0","GBR","M",""
"1000631","Treatment","0","BRA","M",""
"1000632","Treatment","0","GBR","M",""
"1000633","Control","0","DEU","F",""
"1000634","Treatment","0","MEX","M",""
"1000635","Treatment","69.21","ESP","F","I"
"1000636","Control","0","FRA","M",""
"1000637","Treatment","0","USA","F",""
"1000638","Control","0","CAN","M",""
"1000639","Treatment","0","FRA","F",""
"1000640","Treatment","0","DEU","F",""
"1000641","Treatment","0","USA","F",""
"1000642","Treatment","0","BRA","F",""
"1000643","Control","0","CAN","F",""
"1000644","Control","0","USA","M",""
"1000645","Treatment","0","GBR","M",""
"1000646","Control","0","BRA","M",""
"1000647","Treatment","0","TUR","M",""
"1000648","Treatment","0","USA","",""
"1000649","Treatment","0","CAN","M",""
"1000650","Treatment","0","BRA","F",""
"1000651","Control","0","USA","M",""
"1000652","Treatment","0","USA","M",""
"1000653","Control","61.84","USA","M","I"
"1000654","Control","0","ESP","F",""
"1000655","Control","0","DEU","F",""
"1000656","Control","0","BRA","F",""
"1000657","Control","0","MEX","M",""
"1000658","Control","0","AUS","F",""
"1000659","Control","0","BRA","M",""
"1000660","Control","0","USA","F",""
"1000661","Control","0","USA","F",""
"1000662","Control","0","USA","F",""
"1000663","Control","0","USA","F",""
"1000664","Treatment","0","BRA","O",""
"1000665","Treatment","0","USA","F",""
"1000666","Treatment","0","MEX","M",""
"1000668","Control","0","USA","F",""
"1000669","Control","176.83","BRA","M","I"
"1000670","Control","0","USA","F",""
"1000671","Control","0","USA","M",""
"1000672","Treatment","0","CAN","M",""
"1000673","Treatment","0","USA","F",""
"1000674","Control","0","FRA","F",""
"1000675","Treatment","68.34","USA","M","A"
"1000676","Treatment","0","MEX","M",""
"1000677","Treatment","0","GBR","F",""
"1000678","Treatment","0","USA","F",""
"1000680","Treatment","0","USA","M",""
"1000681","Treatment","0","DEU","M",""
"1000682","Treatment","0","USA","M",""
"1000683","Treatment","0","BRA","O",""
"1000684","Control","0","","M",""
"1000685","Treatment","0","BRA","F",""
"1000686","Control","0","GBR","F",""
"1000687","Control","0","USA","F",""
"1000688","Treatment","0","MEX","F",""
"1000689","Treatment","0","MEX","M",""
"1000690","Control","0","GBR","",""
"1000691","Treatment","0","","F",""
"1000692","Treatment","0","BRA","F",""
"1000693","Treatment","0","BRA","",""
"1000694","Treatment","0","BRA","F",""
"1000695","Control","0","USA","M",""
"1000696","Treatment","0","BRA","O",""
"1000697","Treatment","0","BRA","F",""
"1000698","Treatment","0","MEX","M",""
"1000699","Treatment","0","USA","M",""
"1000700","Treatment","0","BRA","F",""
"1000701","Control","0","BRA","M",""
"1000702","Treatment","0","MEX","F",""
"1000703","Control","0","AUS","",""
"1000705","Treatment","0","USA","F",""
"1000706","Treatment","0","BRA","F",""
"1000707","Control","0","BRA","M",""
"1000708","Treatment","0","USA","F",""
"1000709","Treatment","0","FRA","",""
"1000711","Treatment","0","","M",""
"1000712","Control","0","DEU","F",""
"1000714","Control","0","DEU","F",""
"1000715","Treatment","0","BRA","F",""
"1000716","Control","0","DEU","F",""
"1000717","Treatment","0","MEX","M",""
"1000718","Treatment","0","FRA","F",""
"1000719","Treatment","0","USA","M",""
"1000720","Control","0","BRA","M",""
"1000721","Control","0","AUS","M",""
"1000722","Control","0","BRA","",""
"1000723","Control","0","CAN","F",""
"1000724","Treatment","0","TUR","F",""
"1000725","Treatment","0","MEX","M",""
"1000726","Control","0","MEX","F",""
"1000727","Treatment","0","BRA","M",""
"1000728","Control","0","USA","F",""
"1000729","Control","0","CAN","",""
"1000730","Control","0","USA","F",""
"1000731","Treatment","0","USA","F",""
"1000732","Treatment","0","GBR","F",""
"1000733","Control","0","USA","M",""
"1000734","Control","0","BRA","M",""
"1000735","Treatment","0","FRA","M",""
"1000736","Control","0","BRA","M",""
"1000737","Control","0","MEX","M",""
"1000738","Control","0","DEU","",""
"1000739","Treatment","0","GBR","M",""
"1000740","Treatment","0","USA","M",""
"1000741","Control","0","MEX","F",""
"1000742","Treatment","0","BRA","M",""
"1000743","Control","0","BRA","M",""
"1000744","Control","0","MEX","F",""
"1000745","Treatment","0","FRA","",""
"1000746","Control","0","ESP","M",""
"1000747","Control","0","ESP","M",""
"1000748","Control","0","BRA","M",""
"1000749","Treatment","0","GBR","M",""
"1000750","Control","0","USA","F",""
"1000751","Control","0","BRA","F",""
"1000752","Treatment","0","USA","F",""
"1000753","Control","0","FRA","M",""
"1000754","Treatment","0","USA","F",""
"1000755","Control","0","USA","M",""
"1000756","Treatment","0","FRA","M",""
"1000757","Control","0","TUR","",""
"1000758","Treatment","0","TUR","F",""
"1000759","Control","0","USA","F",""
"1000760","Control","0","GBR","M",""
"1000761","Control","0","BRA","F",""
"1000762","Treatment","0","BRA","M",""
"1000763","Control","0","BRA","M",""
"1000764","Control","0","BRA","F",""
"1000765","Control","0","BRA","M",""
"1000766","Control","0","BRA","",""
"1000767","Treatment","0","BRA","F",""
"1000768","Control","0","BRA","M",""
"1000769","Control","0","FRA","M",""
"1000770","Control","0","BRA","F",""
"1000771","Treatment","0","USA","F",""
"1000772","Control","0","GBR","",""
"1000773","Control","0","USA","O",""
